,生息時期と生息地,分類,タイプ種,名前の関連知識,発見場所,標本の関連知識,全長・体重,身体の構造的特徴
トルヴォサウルス,トルヴォサウルスはジュラ紀後期に現在の北アメリカおよびヨーロッパに生息していた大型の獣脚類恐竜の属である,現在のところメガロサウルス科に分類され、ＴｏｒｖｏｓａｕｒｕｓｔａｎｎｅｒｉとＴｏｒｖｏｓａｕｒｕｓｇｕｒｎｅｙｉの2種が含まれている|トルヴォサウルスはジュラ紀後期に現在の北アメリカおよびヨーロッパに生息していた大型の獣脚類恐竜の属である,,,化石はアメリカ、コロラド州とポルトガルで発見されている,,,
ガルゴイレオサウルス,,ガルゴイレオサウルスは完全な状態の化石が知られる最古の曲竜類の一つである,,,ホロタイプ標本はワイオミング州、オールバニ郡のボーン・キャビン発掘地西部にあるモリソン累層の上部ジュラ系、キンメリッジ階−チュートン階の地層から発見された,,頭骨の長さは29ｃｍ、全長は3ｍ−4ｍと推定されている|体重は1ｔほどであった,
フェルガナサウルス,現在のアジア、ジュラ紀中期に生息していた,フェルガナサウルスは、真竜脚類に属する恐竜|ロエトサウルスに似た竜脚類であり、体長19メートル程度とされる|他のこの属の特徴としてスプーン状の歯を持ち、アフリカの竜脚類ジョバリアと似ていた系統関係では、より派生的な竜脚類である新竜脚類の直前に配置される,タイプ種はＦｅｒｇａｎａｓａｕｒｕｓｖｅｒｚｉｌｉｎｉで、ＶｌａｄｉｍｉｒＡｌｉｆａｎｏｖとＡｌｅｘａｎｄｅｒＡｖｅｒｉａｎｏｖにより2003年に記載された,名は「フェルガナのトカゲ」を意味する,化石は1966年中央アジア、キルギスのフェルガナ盆地ので発見された,,ロエトサウルスに似た竜脚類であり、体長19メートル程度とされる,化石は頭部より後の部分骨格で、各肢2本の長い爪が特徴的である
ヴォルクヘイメリア,ジュラ紀後期、約1億6000万年前に生息していた,ヴォルクヘイメリアは真竜脚類に分類される竜脚類恐竜の属である,タイプ種はＶ．ｃｈｕｂｕｔｅｎｓｉｓで1979年にホセ・ボナパルテにより記載されている,,化石はアルゼンチンで発見されている,,,
ジュラヴェナトル,ジュラ紀後期に現在はドイツのジュラ山脈となっている地域に生息してた,ジュラヴェナトルは小型のコエルロサウルス類の獣脚類恐竜の属の一つである,,,,現在のところ単一の標本のみが知られている,,
ケティオサウリスクス,おそらくディプロドクスに近縁なディプロドクス科の恐竜で、ジュラ紀中期カロビアンに現在のイングランドに生息していた,ケティオサウリスクスは竜脚類恐竜の属である,,,,,,四足歩行の草食恐竜であった
ブラキトラケロパン,ブラキトラケロパンは、ジュラ紀後期に生息していた竜脚類である,ブラキトラケロパンは、ジュラ紀後期に生息していた竜脚類である,,,,,全長は10メートルほど,他の竜脚類は首が長いが、この種は首が短いという特徴で知られる
ネブラサウルス,ネブラサウルスは中国雲南省のジュラ紀中期の張河層から知られる基盤的な真竜脚類恐竜の絶滅属である,系統解析の結果ネブラサウルスはアフリカのジュラ紀中期の属スピノフォロサウルスの姉妹群であることがわかった,,,この発見はアジアでは未知であった基盤的な真竜脚類の代表として古生物学的に重要である,唯一の標本としてホロタイプＬＤＲＣ−ＶＤ1の脳函が知られている,,
ガルヴェオサウルス,ガルヴェオサウルスはジュラ紀後期から白亜紀前期にかけて生息した恐竜の絶滅属の一つである,,種小名は発見者のＪｏｓéＭａｒíａＨｅｒｒｅｒｏに献名されたものである,化石はスペイン、テルエル県ので発見され、属名はそれに由来し「ガルベのトカゲ」という意味である,化石はスペイン、テルエル県ので発見され、属名はそれに由来し「ガルベのトカゲ」という意味である,,,
マッソスポンディルス,マッソスポンディルスはジュラ紀前期に棲息していた小型～中型の植物食恐竜の一種,古竜脚類のひとつ,,,,,全長4ｍ程度,
エラフロサウルス,エラフロサウルスはジュラ紀後期に現在のアフリカ、タンザニアに生息していたケラトサウルス類の獣脚類恐竜の属の一つである,系統解析の結果、ケラトサウルスに近縁であることが示され、以前考えられていたような新しい時代まで生き残ったコエロフィシス上科であるという説は検証されたものの、棄却されることが示唆された,,,形態上は2点重要なところがある,,中型で、軽量なつくりの二足歩行の肉食動物であり、成体では体長6ｍほどであった,中型で、軽量なつくりの二足歩行の肉食動物であり、成体では体長6ｍほどであった|1つ目は比較的長い胴をもつものの、同程度の大きさの獣脚類に比べ非常に厚さの薄い胸郭を持っていた|2つ目は比較的長い胴に対して非常に後肢が短かった
スキウルミムス,,スキウルミムスはメガロサウルス科の恐竜の1属,,,現在のドイツのバイエルン州、近郊のＲｙｇｏｌ採石場より発掘された若齢個体の全身骨格に基づき、2012年の夏にスキウルミムス・アルベルスドエルフェリが新属新種として記載・報告された,,この個体の骨格の全長は719ｍｍであるので、成体の大きさはそれ以上となる,
リムサウルス,,リムサウルスは歯のない草食性の獣脚類恐竜の属の1つである,,,化石は中国西部、ジュンガル盆地にあるのジュラ系上部の地層から発見されている,リムサウルスが発見されたことでこの時代アジアと他の大陸との間の接続があり、以前はによって妨げられていたと考えられて大陸間の動物相移動が可能であったことが示唆された,,
