,マグニチュード,発生日時,震源地と震源の深さ,各地の震度,人的被害,津波の心配,在来線・新幹線被害,その他の被害,気象庁の分析,原発
地震：水戸で震度４,気象庁によると、震源の深さは約50キロ、地震の規模を示すマグニチュードは5・0と推定される,20日午前7時25分ごろ、茨城県南部を震源とする地震があり、さいたま市や水戸市などで最大震度4を観測した,気象庁によると、震源の深さは約50キロ、地震の規模を示すマグニチュードは5・0と推定される,主な各地の震度は次の通り,,,,,,
地震：関東で震度３,地震の規模はマグニチュード4．4と推定される,26日午前4時52分ごろ、茨城、栃木、埼玉、千葉の各県で震度3の地震があった,気象庁によると、震源地は茨城県南部で、震源の深さは約50キロ,各地の震度は次の通り,,,,,,
地震：長野と福島で震度３相次ぐ,地震の規模はマグニチュード3・4と推定される|地震の規模はＭ5・8と推定される","27日午前3時28分ごろ、長野県で震度3の地震があった|また、同7時57分ごろ、宮城、福島、茨城、栃木の各県で震度3の地震があった,気象庁によると、震源地は新潟県上越地方で、震源の深さは約10キロ|同庁によると、震源地は福島県沖で震源の深さは約10キロ,,,,,,,
地震：和歌山で震度４,気象庁によると、震源の深さは約10キロで、地震の規模を示すマグニチュードは6・1と推定される,1日午前11時39分ごろ、三重県南東沖を震源とする地震があり、和歌山県古座川町で震度4を観測した,気象庁によると、震源の深さは約10キロで、地震の規模を示すマグニチュードは6・1と推定される,主な各地の震度は次の通り,,,東海道新幹線は地震防災システムが作動し、約10分間にわたり静岡—岐阜羽島間の上下線で一時運転を見合わせた|ＪＲ東海によると、3本が遅れ、約3600人に影響した,,,
地震：熊本で震度４,気象庁によると、震源は同県熊本地方、震源の深さは約10キロ、地震の規模を示すマグニチュードは4・7と推定される,1日午前6時33分ごろ、熊本市西区・南区や熊本県宇城市、上天草市で震度4を観測する地震があった,気象庁によると、震源は同県熊本地方、震源の深さは約10キロ、地震の規模を示すマグニチュードは4・7と推定される,その他の主な各地の震度は次の通り,,,点検のため九州道の益城熊本空港—八代両ＩＣ間の上下線などが通行止めになった|九州新幹線も一時運転を見合わせた,,,
地震：長野で震度４,マグニチュードは4．6と推定される,25日午後1時51分ごろ長野県の小谷村と小川村で震度4の地震があった,気象庁によると、震源地は新潟県上越地方で、震源の深さは約10キロ,その他の各地の震度は次の通り,,,,,,
地震：熊本で震度５弱,気象庁によると、震源の深さは約13キロ、地震の規模を示すマグニチュードは5・2と推定される,31日午後7時46分ごろ、熊本県熊本地方を震源とする地震があり、熊本市西区と熊本県宇城市で震度5弱を観測した,熊本県以外でも、九州全域と中国・四国地方で震度3〜1の揺れを記録した|気象庁によると、震源の深さは約13キロ、地震の規模を示すマグニチュードは5・2と推定される,その他の主な各地の震度は以下の通り,,,,,,
熊本地震：水俣で震度３,,熊本県・大分県を中心に続いている一連の地震で、10日にこれまでの主な活動領域よりやや南西に離れたところで地震が発生した,この地域を震源とした震度1以上の地震が観測されたのは先月14日以降初めて|気象庁によると、10日午前4時41分から5時7分ごろにかけて、熊本県天草・芦北地方を震源とする地震が断続的に計3回あり、水俣市で震度3、芦北町や天草市などで震度2を観測した,,,,,,気象庁は熊本地震の活動の一つとしている,
熊本地震：熊本で震度５強,気象庁によると、震源の深さは約10キロ、マグニチュードは5・5と推定される,19日午後5時52分ごろ、熊本県熊本地方を震源とする地震があり、同県八代市で震度5強、同県氷川町と同県芦北町で震度5弱を観測した,気象庁によると、震源の深さは約10キロ、マグニチュードは5・5と推定される,,,,,,,
地震：高知で震度３　【大阪】,地震の規模はマグニチュード3．7と推定される,26日午前9時49分ごろ、高知県で震度3の地震があった,気象庁によると、震源地は高知県中部で震源の深さは約10キロ,各地の震度は、震度3＝香美物部神池▽震度2＝三好西祖谷山香美香北など,,津波の心配はない,,,,
地震：北海道・函館で震度４,地震の規模はマグニチュード5．5と推定される,26日午後2時13分ごろ、北海道函館市で震度4の地震があった,気象庁によると震源地は浦河沖で、震源の深さは約20キロ,,北海道や道警などによると、けが人や建物の倒壊の情報はなかった,,,,,
地震：大分で震度４,気象庁によると、震源は日向灘、震源の深さは約60キロ、地震の規模を示すマグニチュードは4・4と推定される,22日午前3時33分ごろ、大分県佐伯市で震度4を観測する地震があった,気象庁によると、震源は日向灘、震源の深さは約60キロ、地震の規模を示すマグニチュードは4・4と推定される,その他の主な各地の震度は次の通り,,,,,,
地震：千葉・銚子で震度３,地震の規模はマグニチュード4・1と推定される,22日午前7時59分ごろ、千葉県銚子市で震度3の地震があった,気象庁によると、震源地は千葉県東方沖で、震源の深さは約10キロ,,,,,,,
地震：兵庫北部で震度３　【大阪】,地震の規模はマグニチュード3・1と推定される,25日午後8時48分、兵庫県養父市で震度3の地震があった,気象庁によると、震源地は同県北部で、震源の深さは約10キロ,各地の震度は次の通り,,,,,,
地震：茨城北部で震度４,気象庁によると、震源の深さは約10キロ、マグニチュードは4．7と推定される,22日午後2時34分ごろ、茨城県北部を震源とする地震があり、同県常陸太田市で震度4を観測した,気象庁によると、震源の深さは約10キロ、マグニチュードは4．7と推定される,主な各地の震度は次の通り,,津波はなかった,,,,
