,文化財指定,時代・所在,日本100名城,さくら名所,藩庁,歴史,別名,城の構造,天守
鹿児島城,城跡は鹿児島県史跡に指定されている,鹿児島城は、鹿児島県鹿児島市城山麓にあった日本の城である,,,,,"別名の由来は、屋形の形状が鶴が羽を広げたようであったことによる
鹿児島では、一般的に古くから別名の「鶴丸城」の名で呼ばれ、現地の案内図や看板などは「鶴丸城」表記でほぼ統一されており、「鹿児島城」での表記はほとんどない",,
千早城,国の史跡に指定されている,"千早城は、大阪府南河内郡千早赤阪村大字千早にある日本の城
鎌倉時代末期より南北朝時代に存在した楠木正成の城である ",,,,,楠木七城の一つ ,四方を絶壁に囲まれ要塞堅固を誇ったといわれる連郭式山城である,
松代城,国の史跡に指定されている,松代城は、長野県長野市松代町松代にある日本の城跡である,,,,,"また茅津城とも言われ茅の生い茂った地であったと伝える説もある
元々は海津城と呼ばれていたが貝津城とも言われた",形式は輪郭式平城,
松山城 (伊予国),現在は、城跡の主要部分が公園として整備され、大天守を含む21棟の現存建造物が国の重要文化財に、城郭遺構が国の史跡に指定されている,松山城は、愛媛県松山市にあった日本の城,,2009年のミシュラン観光版日本編では二つ星に選定された,,,"別名金亀城、勝山城
各地の松山城と区別するため『伊予松山城』と呼ばれることもあるが、これは極稀なケースであり特別な事情を除いて一般的に「松山城」と指した場合は本項を示す",,そのほか、昭和初期の1933年に大天守を残して焼失した、連立式天守群の小天守以下5棟をはじめとする22棟が木造で復元されている
高岡城,現在、城跡は高岡古城公園として整備され、市民の憩いの場となっており、国の史跡に指定されている,高岡城は、富山県高岡市古城にあった日本の城,日本100名城のひとつである,桜の名所としても有名で日本さくら名所100選に選定されている,,,,,
大坂城,「大坂城跡」として国の特別史跡に指定されている,"大坂城／大阪城は、安土桃山時代に摂津国東成郡生玉荘大坂に築かれ、江戸時代に修築された日本の城
現在の大阪府大阪市中央区大阪城に所在する ",,,,,"別称は錦城
金城とも表記）",,
二本松城,平成19年7月26日、二本松城跡として国の史跡に指定された,二本松城は、福島県二本松市郭内にある日本の城,日本100名城の一つ,「霞ヶ城公園」として日本さくら名所100選に選定されている,,,別名、霞ヶ城・白旗城と呼ばれる,,
二条城,"城内全体が国の史跡に指定されている他、二の丸御殿が国宝に、22棟の建造物と二の丸御殿の障壁画計1016面が重要文化財に、二の丸御殿庭園が特別名勝に指定されている
さらに1994年にはユネスコの世界遺産に「古都京都の文化財」として登録されている",二条城は、京都市中京区二条通堀川西入二条城町にある、江戸時代に造営された日本の城である,,,また、後の近代において二条城は京都府の府庁や皇室の離宮として使用された,京都市街の中にある平城で、後述する足利氏、織田氏、豊臣氏、徳川氏によるものがあるが、現在見られるものは徳川氏によるものである,,,
名護屋城,国の特別史跡に指定されている,名護屋城は、肥前国松浦郡名護屋にあった城,平成18年には日本100名城に選定された,,,豊臣秀吉の文禄・慶長の役に際し築かれた,,,
鳥取城,国の史跡に指定されている,鳥取城は、鳥取県鳥取市に築かれた戦国時代から江戸時代の日本の城,,,,"織田信長の中国攻めでは、家臣の羽柴秀吉が兵糧攻めを用いて攻略した
開城後、入城した宮部継潤によって山上ノ丸の改修が行われ、江戸時代には鳥取藩池田氏の治下に入り、麓の二の丸以下の曲輪が拡張された","別名、久松山城
戦国時代から江戸末期にかけての城郭形態の変化を伺うことができることから「城郭の博物館」の異名を持つ",,現在は天守台、石垣、堀、井戸などが残る
