,OS,サイズ,重量,画素,外部メモリ,メモリー,ストレージ,プロセッサー,ディスプレイサイズ,バッテリー,ディスプレイの特徴,発売日,ボディカラー,防水・防塵,メーカー,通信,アプリ,カメラ機能,価格,デザイン,ＳＩＭ,操作性,サウンド,GPS
UQ mobile、2000万画素インカメラ搭載SIMフリー「HUAWEI nova 2」,OSは「Android 7.0」をプリインストールする,本体サイズは68.9（幅）×142（高さ）×6.9（奥行）mm、重量は約143g,本体サイズは68.9（幅）×142（高さ）×6.9（奥行）mm、重量は約143g,メインカメラに、約1200万画素と約800万画素のダブルレンズカメラを搭載,内蔵ストレージは64GB、外部記録媒体はmicroSDXCメモリーカード（最大128GB）をサポート,プロセッサーは「Ｋｉｒｉｎ659」、メモリーは4ＧＢ,内蔵ストレージは64GB、外部記録媒体はmicroSDXCメモリーカード（最大128GB）をサポート,プロセッサーは「Ｋｉｒｉｎ659」、メモリーは4ＧＢ,ディスプレイに、約5型フルHD液晶（1920×1080ドット）を装備したモデル,このほか、バッテリー容量は2950ｍＡｈで、連続待受時間が約390時間、連続通話時間が約1080分,,2018年1月下旬以降より、UQ mobileオンラインショップなどで順次、取り扱いを開始する。,ボディカラーは、プレステージゴールド、グラファイトブラック、オーロラブルー,,UQコミュニケーションズは、「UQ mobile」に対応するSIMフリースマートフォンのラインアップとして、「HUAWEI nova 2」（ファーウェイ製）を発表,,,サブカメラは約2000万画素で、同社独自のビューティー補正機能により、立体的かつ正確に顔を認識して、ナチュラルな美肌効果で撮影できる,,,,,,
UQ mobile、濡れた手や手袋でも操作できる5型スマホ「DIGNO A」,OSは「Android 8.0」をプリインストールする。,本体サイズは72（幅）×145（高さ）×8.7（奥行）mm。,重量は約136ｇ,カメラ画素数は、メインが約1300万画素、サブが約500万画素となる,外部メモリーはmicroSDXCに対応（最大256GB）。,主な仕様は、プロセッサーが「Snapdragon 430」、メモリー（RAM）が3GB、ストレージ（ROM）が32GB,主な仕様は、プロセッサーが「Snapdragon 430」、メモリー（RAM）が3GB、ストレージ（ROM）が32GB,主な仕様は、プロセッサーが「Snapdragon 430」、メモリー（RAM）が3GB、ストレージ（ROM）が32GB,,このほか、バッテリー容量は2600ｍＡｈで、連続通話が約960分、連続待受が約530時間,,3月上旬より発売する,ボディカラーは、ライトブルーとネイビーの2色を用意する,防水・防塵・耐衝撃に対応したモデル,UQコミュニケーションズは、UQ mobileに対応した2018年春モデルのスマートフォン「DIGNO A」（京セラ製）を発表。,無線通信は、IEEE802.11a/b/g/n/ac準拠の無線LANとBluetooth 4.2に対応。,,カメラ機能では、ピント合わせが速い「像面位相差オートフォーカス」や、明暗差の大きい場所では白とびや黒つぶれを抑える「ＨＤＲ撮影」を搭載する,,5.0型フルHD液晶（1080×1920ドット）を搭載するほか、京セラ独自のハイブリッドシールド構造を採用しており、ガラス割れが起こりにくくなっている。,,また、画面や手が濡れていても操作できるウェットタッチや、手袋をつけたままでも触れるグローブタッチに対応,,
au、スマホ診断に対応した5型「BASIO3」を1/19に発売,OSは「Android 7.1」をプリインストールする。,本体サイズは71（幅）×144（高さ）×9.9～10.1（奥行）mm、重量は約150g,本体サイズは71（幅）×144（高さ）×9.9～10.1（奥行）mm、重量は約150g,カメラ機能は、メインカメラが約1300万画素で、スライドカバーを開くだけで、すぐにカメラが起動できる|サブカメラは約500万画素だ,,プロセッサーが「ＭＳＭ8937」、メモリーが3ＧＢ、ストレージが32ＧＢ,プロセッサーが「ＭＳＭ8937」、メモリーが3ＧＢ、ストレージが32ＧＢ,プロセッサーが「ＭＳＭ8937」、メモリーが3ＧＢ、ストレージが32ＧＢ,このほか主な仕様は、ディスプレイが5型フルHD液晶（1920×1080ドット）。,バッテリー容量は2940ｍＡｈ,,1月19日より発売する,ボディカラーは、ゴールド、ブルー、レッド,ＩＰＸ5／8相当の防水性能とＩＰ5Ｘ相当の防塵性能も装備,au（KDDI）は、1月下旬の発売を予定していた、2018年春モデルのスマートフォン「BASIO3」（京セラ製）の発売日を決定,,さらに、スマートフォンでできることや、便利な活用方法などを、テレビショッピングのように実演販売士が紹介するという「使いこなし動画」をプリインストール|タッチ操作や文字入力などの基本操作から、インターネットや地図などのアプリの使い方まで、楽しみながら練習できるアプリ「使い方練習」も搭載した,,,,,専用カードをかざして、困ったことを簡単に診断できるというモデル|具体的には、「インターネットがつながらない」「画面が回転する」といったことで困った場合、同梱の「スマホの健康診断／かざして診断カード」を本体裏側の「ａｕマーク」にかざすと、スマートフォンの診察を開始できるという|なお、ホーム画面の「スマホ健康診断」アイコンをタップした起動にも対応するとのことだ,,
楽天モバイル、CAT製4.7型SIMフリータフスマホ「S60」などの取扱開始,,,,,,,,プロセッサーは「MSM8940 オクタコア」を装備する。,「HUAWEI MediaPad M3 Lite」は8型ディスプレイ、「HUAWEI MediaPad M3 Lite 10」は10.1型ディスプレイを採用し、いずれも解像度はWUXGA（1920×1200ドット）。,,,いずれも楽天モバイルのＳＩＭカードとのセット販売となり、オンラインと一部店舗で1月12日より、受付を開始する,,IP68相当の防水・防塵性能、1.8 mの高さからのコンクリート落下試験をクリアした耐衝撃性能を装備。,楽天は、「楽天モバイル」より、4.7型スマートフォン「CAT S60 SMARTPHONE」（オンキヨー＆パイオニアマーケティングジャパン）、および8型タブレット「HUAWEI MediaPad M3 Lite」と10.1型タブレット「HUAWEI MediaPad M3 Lite 10」（いずれもファーウェイ・ジャパン）を取り扱うと発表。,,,サーマルイメージングカメラを搭載し、高コントラストで温度を可視化する赤外線撮影に対応したモデル|水深5mに60分間浸しても起動可能（ロックダウンスイッチがONの場合）で、水中での撮影も可能だ。,端末販売価格は、一括払いの場合が89800円（税別）、分割払いの場合が4041円（税込）×24回。|「HUAWEI MediaPad M3 Lite」の端末販売価格は、一括払いの場合が29800円（税別）、分割払いの場合が1341円（税込）×24回。|「HUAWEI MediaPad M3 Lite 10」の端末販売価格は、一括払いの場合が35800円（税別）、分割払いの場合が1611円（税込）×24回。,,,,米ハーマン社がチューニングを施したサウンドシステムを採用したモデル,
シャープ、4.9型SIMフリー「AQUOS R compact SH-M06」を1月下旬発売,OSは「Android 8.0」をプリインストールする。,本体サイズは66（幅）×132（高さ）×9.6（奥行）mm、重量は約140g。,本体サイズは66（幅）×132（高さ）×9.6（奥行）mm、重量は約140g。,カメラ機能は、アウトカメラが約1640万画素の裏面照射積層型ＣＭＯＳセンサー、インカメラが約800万画素の裏面照射型ＣＭＯＳセンサーを装備,外部記録媒体がmicroSDXCメモリーカードに対応（最大400GB）。,内蔵ストレージが32ＧＢ,内蔵ストレージが32ＧＢ,このほか主な仕様は、プロセッサーが「Snapdragon 660」、メモリーが3GB。,,バッテリー容量は2500mAh、連続待受時間は約630時間（LTE）。,動きの激しい動画や画面スクロール時の文字の残像を抑えてなめらかに表示する、120Ｈｚ駆動の「ハイスピードＩＧＺＯ液晶ディスプレイ」を搭載したモデル|フルHD＋（2032×1080ドット）の解像度と、液晶テレビ「AQUOS」から受け継いだ高画質化技術「リッチカラーテクノロジーモバイル」により、写真や動画をきめ細かく色鮮やかに表示する。,1月下旬より発売する予定だ,ボディカラーは、ホワイト、シルバーブラック,ＩＰＸ5／8相当の防水性能とＩＰ6Ｘ相当の防塵性能も備える,シャープは、スマートフォン「AQUOS R」シリーズより、4.9型のSIMフリーモデル「AQUOS R compact SH-M06」を製品化すると発表した。,,,また、アウトカメラは、「位相差ＡＦ」と「コントラストＡＦ」を組み合わせた「ハイブリッドＡＦ」に対応する|アウトカメラに焦点距離約25mm、インカメラに約23mm相当（35mmフィルム換算）の広角レンズを採用した。,,また、「IGZOフリーフォームディスプレイ」を搭載し、「EDGEST fit」デザインを採用したのも特徴。|片手で持ちやすい丸みを帯びた形状に加え、狭額縁設計により幅66ｍｍのコンパクトサイズを実現した,,,,
ワイモバイル、Android Oneスマートフォン「S3」を1/18より発売,OSは「Android 8.0」をプリインストールする。,本体サイズは71（幅）×144（高さ）×8.5（奥行）mm（突起部を除く）、重量は約143g,本体サイズは71（幅）×144（高さ）×8.5（奥行）mm（突起部を除く）、重量は約143g,カメラ機能はメインが有効約1310万画素、サブが有効約500万画素,外部記録媒体が最大256ＧＢのｍｉｃｒｏＳＤＸＣメモリーカードに対応,このほか主な仕様は、プロセッサーがオクタコア「ＭＳＭ8937」、メモリーが3ＧＢ、内蔵ストレージが32ＧＢ,このほか主な仕様は、プロセッサーがオクタコア「ＭＳＭ8937」、メモリーが3ＧＢ、内蔵ストレージが32ＧＢ,このほか主な仕様は、プロセッサーがオクタコア「ＭＳＭ8937」、メモリーが3ＧＢ、内蔵ストレージが32ＧＢ,「S3」はディスプレイに、光の透過率を高めるとともに消費電力を抑える約5型フルHD IGZO液晶（1920×1080ドット）を採用,バッテリー容量は2700mAhで、3日間以上の電池持ち（同社調べ）を実現,「S3」はディスプレイに、光の透過率を高めるとともに消費電力を抑える約5型フルHD IGZO液晶（1920×1080ドット）を採用,1月12日より予約受け付けを開始し、1月18日に発売する,ボディカラーは、ターコイズ、ネイビーブラック、ホワイト、ピンク,本体は、IPX5/8相当の防水性能とIP6X相当の防塵性能に加えて、米国国防総省基準MIL-STD-810G規格に準拠した耐衝撃性能を装備する。,ソフトバンクは、「ワイモバイル」ブランドより、1月中旬発売としていたAndroid Oneスマートフォン「S3」（シャープ製）の発売日を決定,,Android Oneスマートフォンは、最新のAndroidを常に利用できる（発売から24か月間に1回以上のアップデート）ほか、最新のセキュリティ機能を自動アップデートで毎月提供し（ 発売から3年間のアップデートを実施）、「Google アシスタント」「Googleフォト」「Google マップ」や「YouTube」といった利用頻度の高いアプリをプリインストールしたモデル。,,,,,,,
ソニー、デュアル前面カメラ装備の6型「Xperia XA2 Ultra」など発表,,,,いずれも、4K動画撮影や最高ISO感度12800（静止画）を実現する約2300万画素メインカメラと、約120度で超広角の約800万画素フロントカメラを装備|なお、「Xperia XA2 Ultra」のフロントカメラには、超広角カメラに加えて、光学式手ブレ補正を備えた約1600万画素カメラを搭載し、切り替えて撮影できるデュアルセルフィーカメラを採用した。,,,,プロセッサーには「Snapdragon 630 Mobile Platform」を採用する。,「Xperia XA2」は約5.2型フルHDディスプレイと3300mAhのバッテリーを搭載したモデル、「Xperia XA2 Ultra」は約6型フルHDディスプレイと3580mAhのバッテリーを搭載したモデルとなる,「Xperia XA2」は約5.2型フルHDディスプレイと3300mAhのバッテリーを搭載したモデル、「Xperia XA2 Ultra」は約6型フルHDディスプレイと3580mAhのバッテリーを搭載したモデルとなる,,,,,ソニーは、米ラスベガスで1月9日（現地時間）より開催される「CES 2018」において、ミッドレンジのスマートフォンの新モデルとして、「Xperia XA2」「Xperia XA2 Ultra」（ソニーモバイルコミュニケーションズ製）を展示すると発表した,,,,,このほかボディには、画面左右のベゼルを狭めたボーダーレスデザインを施し、上下左右に施したアルマイト処理の金属素材によって、高級感溢れるメタリックな質感を実現,,背面には、指紋認証センサーを備える,,
au、1200万＋800万画素のダブルレンズカメラ搭載スマホ「HUAWEI nova 2」,OSは「Android 7.0」をプリインストールする,本体サイズは69（幅）×142（高さ）×6.9～7.6（奥行）mm、重量は約143g,本体サイズは69（幅）×142（高さ）×6.9～7.6（奥行）mm、重量は約143g,主な特徴として、メインカメラに、約1200万画素カメラと約800万画素カメラのダブルレンズカメラを搭載し、ワンタッチで2倍のズームインが可能,内蔵ストレージが64GB、外部記録媒体がmicroSDXCメモリーカード（最大128GB）をサポート,このほか主な仕様は、プロセッサーが「Ｋｉｒｉｎ659」、メモリーが4ＧＢ,内蔵ストレージが64GB、外部記録媒体がmicroSDXCメモリーカード（最大128GB）をサポート,このほか主な仕様は、プロセッサーが「Ｋｉｒｉｎ659」、メモリーが4ＧＢ,ディスプレイには、約5型フルHD液晶（1920×1080ドット）を装備,電池持ち時間は約75時間|2950ｍＡｈの大容量バッテリーを搭載し、付属の充電器を使用して、約100分でフル充電できる|バッテリー容量は2950ｍＡｈ,,1月下旬より発売する,ボディカラーは、オーロラブルー、グラファイトブラック、ローズゴールド,,au（KDDI）は、2018年春モデルのスマートフォンとして、「HUAWEI nova 2」（ファーウェイ製）を発表,,,一眼レフで撮影したようなボカシを表現できる「ポートレート撮影」にも対応する|サブカメラは約2000万画素で、3Ｄ顔面認証技術とビューティ補正機能により、「自然な背景ぼけで好印象のポートレート写真」を撮影できるという,,1．6ｍｍの超狭額縁を採用した,,このほか、どのような方向からのタッチでも約0．3秒で反応する「高性能指紋センサー」を背面に用意,音質面では、簡単な設定で立体感のあるサウンドを楽しめ、音響効果を3種類から選択できる「3Ｄオーディオ」を搭載|ファーウェイ独自開発Ｈｉｓｔｅｎアルゴリズムによるチューニングで、立体感のあるサウンドを実現する,
au、4.6型タフネススマホ「TORQUE G03」の新色レッドを3月下旬発売,OSは「Android 7.1」をプリインストールした,本体サイズは71（幅）×145（高さ）×13.6～16.9（奥行）mm、重量は約198g,本体サイズは71（幅）×145（高さ）×13.6～16.9（奥行）mm、重量は約198g,カメラ機能は、メインカメラが約1300万画素、ワイドカメラが約200万画素、サブカメラが約500万画素,ストレージが32GBで、microSDXCメモリーカード（最大256GB）に対応。,主な仕様は、ディスプレイが約4.6型HD液晶（720×1280ドット）、メモリーが3GB,ストレージが32GBで、microSDXCメモリーカード（最大256GB）に対応。,,主な仕様は、ディスプレイが約4.6型HD液晶（720×1280ドット）、メモリーが3GB,バッテリー容量は2940ｍＡｈ,,3月下旬より発売する|「TORQUE G03」は2017年6月30日に発売した、タフネススマートフォン,既存のボディカラーは、グリーン、ブラック、ブルーの3色を展開している|au（KDDI）は、4.6型タフネススマートフォン「TORQUE G03」（京セラ製）に新色「レッド」を追加|今回、「冒険心を鼓舞する力強いカラー」として、「レッド」を新たに追加する,ＩＰＸ5／ＩＰＸ8相当の防水性能とＩＰ6Ｘ相当の防塵性能を装備するほか、高さ1．8ｍから鉄板・コンクリートに製品を26方向で落下させるメーカー独自試験をクリアするなど、耐衝撃性能も備えた点が特徴だ,,,ＶｏＬＴＥ、おサイフケータイが利用できる,,,,,,,
au、同梱の専用カードをかざして“スマホ診断”できる5型「BASIO3」,OSは「Android 7.1」をプリインストールする,本体サイズは71（幅）×144（高さ）×9.9～10.1（奥行）mm、重量は約150g,本体サイズは71（幅）×144（高さ）×9.9～10.1（奥行）mm、重量は約150g,カメラ機能は、メインカメラが約1300万画素で、スライドカバーを開くだけで、すぐにカメラが起動できる|サブカメラは約500万画素だ,,プロセッサーが「ＭＳＭ8937」、メモリーが3ＧＢ、ストレージが32ＧＢ,プロセッサーが「ＭＳＭ8937」、メモリーが3ＧＢ、ストレージが32ＧＢ,プロセッサーが「ＭＳＭ8937」、メモリーが3ＧＢ、ストレージが32ＧＢ,このほか主な仕様は、ディスプレイが5型フルHD液晶（1920×1080ドット）,バッテリー容量は2940ｍＡｈ,,1月下旬より発売する,ボディカラーは、 ゴールド、ブルー、レッド,ＩＰＸ5／8相当の防水性能とＩＰ5Ｘ相当の防塵性能も装備,au（KDDI）は、2018年春モデルのスマートフォンとして、「BASIO3」（京セラ製）を発表,,さらに、スマートフォンでできることや、便利な活用方法などを、テレビショッピングのように実演販売士が紹介するという「使いこなし動画」をプリインストール|タッチ操作や文字入力などの基本操作から、インターネットや地図などのアプリの使い方まで、楽しみながら練習できるアプリ「使い方練習」も搭載した,,,,,専用カードをかざして、困ったことを簡単に診断できるというモデル|具体的には、「インターネットがつながらない」「画面が回転する」といったことで困った場合、同梱の「スマホの健康診断／かざして診断カード」を本体裏側の「ａｕマーク」にかざすと、スマートフォンの診察を開始できるという|なお、ホーム画面の「スマホ健康診断」アイコンをタップした起動にも対応するとのことだ,,
